flag=1 data=42
Iteration 490: flag=1, data=42
Iteration 491: flag=1, data=42
Iteration 492: flag=1, data=42
Iteration 493: flag=1, data=42
Iteration 494: flag=1, data=42
Iteration 495: flag=1, data=42
Iteration 496: flag=1, data=42
Iteration 497: flag=1, data=42
Iteration 498: flag=1, data=42
Iteration 499: flag=1, data=42
Iteration 500: flag=1, data=42
Iteration 501: flag=1, data=42
Iteration 502: flag=1, data=42
Iteration 503: flag=1, data=42
Iteration 504: flag=1, data=42
Iteration 505: flag=1, data=42
Iteration 506: flag=1, data=42
Iteration 507: flag=1, data=42
Iteration 508: flag=1, data=42
Iteration 509: flag=1, data=42
Iteration 510: flag=1, data=42
Iteration 511: flag=1, data=42
Iteration 512: flag=1, data=42
Iteration 513: flag=1, data=42
Iteration 514: flag=1, data=42
Iteration 515: flag=1, data=42
Iteration 516: flag=1, data=42
Iteration 517: flag=1, data=42
Iteration 518: flag=1, data=42
Iteration 519: flag=1, data=42
Iteration 520: flag=1, data=42
Iteration 521: flag=1, data=42
Iteration 522: flag=1, data=42
Iteration 523: flag=1, data=42
Iteration 524: flag=1, data=42
Iteration 525: flag=1, data=42
Iteration 526: flag=1, data=42
Iteration 527: flag=1, data=42
Iteration 528: flag=1, data=42
Iteration 529: flag=1, data=42
Iteration 530: flag=1, data=42
Iteration 531: flag=1, data=42
Iteration 532: flag=1, data=42
Iteration 533: flag=1, data=42
Iteration 534: flag=1, data=42
Iteration 535: flag=1, data=42
Iteration 536: flag=1, data=42
Iteration 537: flag=1, data=42
Iteration 538: flag=1, data=42
Iteration 539: flag=1, data=42
Iteration 540: flag=1, data=42
Iteration 541: flag=1, data=42
Iteration 542: flag=1, data=42
Iteration 543: flag=1, data=42
Iteration 544: flag=1, data=42
Iteration 545: flag=1, data=42
Iteration 546: flag=1, data=42
Iteration 547: flag=1, data=42
Iteration 548: flag=1, data=42
Iteration 549: flag=1, data=42
Iteration 550: flag=1, data=42
Iteration 551: flag=1, data=42
Iteration 552: flag=1, data=42
Iteration 553: flag=1, data=42
Iteration 554: flag=1, data=42
Iteration 555: flag=1, data=42
Iteration 556: flag=1, data=42
Iteration 557: flag=1, data=42
Iteration 558: flag=1, data=42
Iteration 559: flag=1, data=42
Iteration 560: flag=1, data=42
Iteration 561: flag=1, data=42
Iteration 562: flag=1, data=42
Iteration 563: flag=1, data=42
Iteration 564: flag=1, data=42
Iteration 565: flag=1, data=42
Iteration 566: flag=1, data=42
Iteration 567: flag=1, data=42
Iteration 568: flag=1, data=42
Iteration 569: flag=1, data=42
Iteration 570: flag=1, data=42
Iteration 571: flag=1, data=42
Iteration 572: flag=1, data=42
Iteration 573: flag=1, data=42
Iteration 574: flag=1, data=42
Iteration 575: flag=1, data=42
Iteration 576: flag=1, data=42
Iteration 577: flag=1, data=42
Iteration 578: flag=1, data=42
Iteration 579: flag=1, data=42
Iteration 580: flag=1, data=42
Iteration 581: flag=1, data=42
Iteration 582: flag=1, data=42
Iteration 583: flag=1, data=42
Iteration 584: flag=1, data=42
Iteration 585: flag=1, data=42
Iteration 586: flag=1, data=42
Iteration 587: flag=1, data=42
Iteration 588: flag=1, data=42
Iteration 589: flag=1, data=42
Iteration 590: flag=1, data=42
Iteration 591: flag=1, data=42
Iteration 592: flag=1, data=42
Iteration 593: flag=1, data=42
Iteration 594: flag=1, data=42
Iteration 595: flag=1, data=42
Iteration 596: flag=1, data=42
Iteration 597: flag=1, data=42
Iteration 598: flag=1, data=42
Iteration 599: flag=1, data=42
Iteration 600: flag=1, data=42
Iteration 601: flag=1, data=42
Iteration 602: flag=1, data=42
Iteration 603: flag=1, data=42
Iteration 604: flag=1, data=42
Iteration 605: flag=1, data=42
Iteration 606: flag=1, data=42
Iteration 607: flag=1, data=42
Iteration 608: flag=1, data=42
Iteration 609: flag=1, data=42
Iteration 610: flag=1, data=42
Iteration 611: flag=1, data=42
Iteration 612: flag=1, data=42
Iteration 613: flag=1, data=42
Iteration 614: flag=1, data=42
Iteration 615: flag=1, data=42
Iteration 616: flag=1, data=42
Iteration 617: flag=1, data=42
Iteration 618: flag=1, data=42
Iteration 619: flag=1, data=42
Iteration 620: flag=1, data=42
Iteration 621: flag=1, data=42
Iteration 622: flag=1, data=42
Iteration 623: flag=1, data=42
Iteration 624: flag=1, data=42
Iteration 625: flag=1, data=42
Iteration 626: flag=1, data=42
Iteration 627: flag=1, data=42
Iteration 628: flag=1, data=42
Iteration 629: flag=1, data=42
Iteration 630: flag=1, data=42
Iteration 631: flag=1, data=42
Iteration 632: flag=1, data=42
Iteration 633: flag=1, data=42
Iteration 634: flag=1, data=42
Iteration 635: flag=1, data=42
Iteration 636: flag=1, data=42
Iteration 637: flag=1, data=42
Iteration 638: flag=1, data=42
Iteration 639: flag=1, data=42
Iteration 640: flag=1, data=42
Iteration 641: flag=1, data=42
Iteration 642: flag=1, data=42
Iteration 643: flag=1, data=42
Iteration 644: flag=1, data=42
Iteration 645: flag=1, data=42
Iteration 646: flag=1, data=42
Iteration 647: flag=1, data=42
Iteration 648: flag=1, data=42
Iteration 649: flag=1, data=42
Iteration 650: flag=1, data=42
Iteration 651: flag=1, data=42
Iteration 652: flag=1, data=42
Iteration 653: flag=1, data=42
Iteration 654: flag=1, data=42
Iteration 655: flag=1, data=42
Iteration 656: flag=1, data=42
Iteration 657: flag=1, data=42
Iteration 658: flag=1, data=42
Iteration 659: flag=1, data=42
Iteration 660: flag=1, data=42
Iteration 661: flag=1, data=42
Iteration 662: flag=1, data=42
Iteration 663: flag=1, data=42
Iteration 664: flag=1, data=42
Iteration 665: flag=1, data=42
Iteration 666: flag=1, data=42
Iteration 667: flag=1, data=42
Iteration 668: flag=1, data=42
Iteration 669: flag=1, data=42
Iteration 670: flag=1, data=42
Iteration 671: flag=1, data=42
Iteration 672: flag=1, data=42
Iteration 673: flag=1, data=42
Iteration 674: flag=1, data=42
Iteration 675: flag=1, data=42
Iteration 676: flag=1, data=42
Iteration 677: flag=1, data=42
Iteration 678: flag=1, data=42
Iteration 679: flag=1, data=42
Iteration 680: flag=1, data=42
Iteration 681: flag=1, data=42
Iteration 682: flag=1, data=42
Iteration 683: flag=1, data=42
Iteration 684: flag=1, data=42
Iteration 685: flag=1, data=42
Iteration 686: flag=1, data=42
Iteration 687: flag=1, data=42
Iteration 688: flag=1, data=42
Iteration 689: flag=1, data=42
Iteration 690: flag=1, data=42
Iteration 691: flag=1, data=42
Iteration 692: flag=1, data=42
Iteration 693: flag=1, data=42
Iteration 694: flag=1, data=42
Iteration 695: flag=1, data=42
Iteration 696: flag=1, data=42
Iteration 697: flag=1, data=42
Iteration 698: flag=1, data=42
Iteration 699: flag=1, data=42
Iteration 700: flag=1, data=42
Iteration 701: flag=1, data=42
Iteration 702: flag=1, data=42
Iteration 703: flag=1, data=42
Iteration 704: flag=1, data=42
Iteration 705: flag=1, data=42
Iteration 706: flag=1, data=42
Iteration 707: flag=1, data=42
Iteration 708: flag=1, data=42
